Fecha;Ciudad;Temperatura Máxima (C);Temperatura Mínima (C);Precipitación (mm);Nubosidad (%)
2020/09/31;Valencia;15,015;6,655;;0
01/10/2020;Valencia;16,115;6,765;;0
02/10/2020;Valencia;18,315;6,215;;0
03/10/2020;Valencia;20,515;10,395;;0
04/10/2020;Valencia;20,955;9,955;;0
05/10/2020;Valencia;24,475;10,835;0,5;30
06/10/2020;Valencia;24,695;13,145;0;20
07/10/2020;Valencia;23,925;14,135;0;0
08/10/2020;Valencia;24,695;13,915;0;0
09/10/2020;Valencia;24,695;13,805;0;0
10/10/2020;Valencia;23,045;14,575;0;0
